time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-14T17:24:40.750Z,33.3871667,-116.3093333,11.73,0.89,ml,29,72,0.07729,0.16,ci,ci38593672,2019-05-14T21:39:59.999Z,"16km NNE of Borrego Springs, CA",earthquake,0.26,0.66,0.086,7,reviewed,ci,ci
2019-05-14T17:20:05.490Z,38.8258324,-122.8551636,1.75,0.58,md,11,109,0.00217,0.02,nc,nc73181560,2019-05-14T18:11:03.966Z,"10km WNW of The Geysers, CA",earthquake,0.34,0.56,,1,automatic,nc,nc
2019-05-14T17:16:59.720Z,38.8269997,-122.8556671,1.64,0.71,md,10,68,0.01646,0.03,nc,nc73181555,2019-05-14T18:01:03.903Z,"10km WNW of The Geysers, CA",earthquake,0.25,0.95,0.26,2,automatic,nc,nc
2019-05-14T17:09:13.320Z,38.8041649,-122.7754974,3.7,0.88,md,8,118,0.009944,0.01,nc,nc73181545,2019-05-14T17:30:03.731Z,"3km NNW of The Geysers, CA",earthquake,0.73,2.01,,1,automatic,nc,nc
2019-05-14T17:06:35.490Z,33.5116667,-116.4311667,7.38,0.66,ml,22,85,0.01256,0.12,ci,ci38593648,2019-05-14T21:35:39.452Z,"20km SSW of La Quinta, CA",earthquake,0.23,0.47,0.14,16,reviewed,ci,ci
2019-05-14T17:00:04.464Z,60.7578,-141.9271,0,1.3,ml,,,,0.93,ak,ak01965w4vsu,2019-05-14T17:46:33.640Z,"81km NNE of Cape Yakataga, Alaska",ice quake,,0.5,,,automatic,ak,ak
2019-05-14T16:58:50.799Z,51.7209,-178.1531,37.1,1.2,ml,,,,0.35,ak,ak01965vvzbg,2019-05-14T17:46:32.945Z,"18km S of Tanaga Volcano, Alaska",earthquake,,2,,,reviewed,ak,ak
2019-05-14T16:56:52.930Z,46.7943333,-113.7258333,10.06,0.68,ml,17,72,0.152,0.16,mb,mb80343759,2019-05-14T19:55:10.960Z,"2km NNW of Clinton, Montana",earthquake,0.6,1.22,,0,reviewed,mb,mb
2019-05-14T16:51:28.570Z,47.764,-114.4293333,6.63,-0.5,md,7,79,0.101,0.08,mb,mb80343824,2019-05-14T20:27:27.940Z,"21km WNW of Polson, Montana",earthquake,0.29,1.24,0.051,2,reviewed,mb,mb
2019-05-14T16:47:32.133Z,62.1308,-149.1184,34.7,1.5,ml,,,,1.46,ak,ak01965vtkzh,2019-05-14T16:51:09.368Z,"38km E of Y, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-05-14T16:34:36.520Z,36.5848,-117.0983,10.8,1,ml,20,180.33,0.175,0.17,nn,nn00684762,2019-05-14T16:37:53.803Z,"46km SW of Beatty, Nevada",earthquake,,2.8,,,automatic,nn,nn
2019-05-14T16:28:12.510Z,38.688,-119.5132,1.8,0.9,ml,7,190.78,0.188,0.04,nn,nn00684760,2019-05-14T16:33:09.428Z,"18km SW of Smith Valley, Nevada",earthquake,,8.6,,,automatic,nn,nn
2019-05-14T16:27:02.480Z,38.8321648,-122.7916641,10.15,0.57,md,6,139,0.00632,0.05,nc,nc73181530,2019-05-14T18:46:03.163Z,"6km W of Cobb, CA",earthquake,2.08,8.46,,1,automatic,nc,nc
2019-05-14T16:24:14.545Z,60.019,-139.5188,0,1.4,ml,,,,1.01,ak,ak01965vom5q,2019-05-14T16:45:57.231Z,"53km NNE of Yakutat, Alaska",ice quake,,0.4,,,automatic,ak,ak
2019-05-14T16:14:29.373Z,12.5005,-87.0296,151.42,4.5,mb,,131,0.195,0.95,us,us70003l2h,2019-05-14T17:13:18.040Z,"7km SW of Posoltega, Nicaragua",earthquake,7.5,5.4,0.054,101,reviewed,us,us
2019-05-14T16:10:49.380Z,37.2182,-114.787,0.7,1.4,ml,7,296.11,0.297,0.35,nn,nn00684755,2019-05-14T16:14:50.528Z,"37km ESE of Alamo, Nevada",earthquake,,28.6,,,automatic,nn,nn
2019-05-14T16:04:41.930Z,39.5515,-120.0765,25.9,0.9,ml,6,173.07,0.141,0.18,nn,nn00684753,2019-05-14T16:12:29.777Z,"8km WNW of Verdi, Nevada",earthquake,,3.2,,,automatic,nn,nn
2019-05-14T16:04:41.250Z,46.8653333,-112.5193333,14.88,-0.38,md,7,102,0.13,0.06,mb,mb80343754,2019-05-14T19:26:22.330Z,"15km SE of Lincoln, Montana",earthquake,0.27,0.97,,1,reviewed,mb,mb
2019-05-14T16:00:59.740Z,38.8196678,-122.8115005,2.57,1.03,md,24,48,0.003885,0.04,nc,nc73181525,2019-05-14T18:21:06.021Z,"7km NW of The Geysers, CA",earthquake,0.22,0.43,0.07,5,automatic,nc,nc
2019-05-14T15:53:06.200Z,37.2655,-115.0297,22.1,1.3,ml,15,191.71,0.085,0.1,nn,nn00684752,2019-05-14T16:06:12.511Z,"16km SE of Alamo, Nevada",earthquake,,1,,,automatic,nn,nn
